noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
25826922,1,,cpv,45,"43,44,71",
25825706,1,,cpv,45223220-4,"45112500-0,45262300-4,45262310-7",
25826914,1,,cpv,45,"43,44,71",
25826004,1,,cpv,45,"43,44,71",
25826008,1,,cpv,45,"43,44,71",
25823466,1,,cpv,45112200-7,"44912400-0,45221250-9,14212000-0",
25825702,1,,cpv,45324000-4,,
25823370,1,,cpv,90733200-6,"90733900-3,45000000-7,45245000-6",
25826886,1,,cpv,45233222,45247110,
25826906,1,,cpv,45,"43,44,71",
25823040,1,,cpv,42414100-2,45000000-7,
25823748,1,,cpv,45000000,,
25823170,1,,cpv,45324000-4,,
25825296,1,,cpv,45251143,,
25822552,1,,cpv,45,"43,44,71",
25823032,1,,cpv,45422000-1,,
25823016,1,,cpv,45111200-0,"77211400-6,45000000-7",
25823402,1,,cpv,45300000-0,45112700-2,
25822732,1,,cpv,45,"43,44,71",
25823654,1,,cpv,43324100,"45212212,45248000,45252120",
25825652,1,,cpv,45421130-4,45262670-8,
25822724,1,,cpv,45,"43,44,71",
25822728,1,,cpv,45,"43,44,71",
25822720,1,,cpv,45,"43,44,71",
25822712,1,,cpv,45,"43,44,71",
25822716,1,,cpv,45,"43,44,71",
25822696,1,,cpv,45,"43,44,71",
25822680,1,,cpv,45,"43,44,71",
25823724,1,,cpv,45,"43,44,71",
25827160,1,,cpv,45,"43,44,71",
25825454,1,,cpv,45410000,,
25822832,1,,cpv,45,"43,44,71",
25822676,1,,cpv,45,"43,44,71",
25822640,1,,cpv,45,"43,44,71",
25823226,1,,cpv,45000000-7,,
25822548,1,,cpv,45,"43,44,71",
25822528,1,,cpv,45,"43,44,71",
25823140,1,,cpv,45243510-0,45240000-1,
25827148,1,,cpv,45,"43,44,71",
25822474,1,,cpv,45,"43,44,71",
25822536,1,,cpv,45,"43,44,71",
25825670,1,,cpv,45262300-4,"45000000-7,45232400-6,45247110-4",
25826854,1,,cpv,45313100,,
25825516,1,,cpv,45,"43,44,71",
25825536,1,,cpv,45,"43,44,71",
25825544,1,,cpv,45,"43,44,71",
25825552,1,,cpv,45,"43,44,71",
25825484,1,,cpv,45,"43,44,71",
25823136,1,,cpv,45240000-1,,
25823492,1,,cpv,45000000-7,,
25825640,1,,cpv,45431000-7,45431100-8,
25825798,1,,cpv,45233120-6,,
25825832,1,,cpv,45233120-6,,
25825748,1,,cpv,45250000-4,,
25826000,1,,cpv,42512300-1,"45331000-6,45315000-8",
