noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
78a13158-21b8-4927-8497-55f095cffba6,01,,Lippstadt,59556,DEA5B,DEU
37cdd9a6-65fb-4c7d-b7f5-ad7c7befc670,01,,München,80803 München,DE212,DEU
46d59055-2d6b-4dd0-8259-86b3ae67397c,01,,Berlin,10963,DE300,DEU
3eb98c24-107b-4db4-9bc7-13790e23b295,01,,,,DE116,DEU
4d70dd3a-19b8-45bb-8fe1-cc4dbf9f9bc0,01,,Hohenbrunn,85662,DE21H,DEU
2127b926-d426-4e4b-903f-6ca78cf49240,01,,Heidelberg,69124,DE125,DEU
b5167006-df6c-4516-b249-954d8e8f3df2,01,,Lauda-Königshofen,97922,DE11B,DEU
74213ead-8e86-41f8-b1d4-eff6c6ab222a,01,,Dippoldiswalde,01744,DED2F,DEU
58ff65ad-ad0d-43da-9705-373a3e18d3db,01,,Haßfurt,97437,DE267,DEU
c76203cb-e304-450e-ab70-f351183aeb21,01,,Dietzenbach,63128,DE71C,DEU
81db0040-7ed0-434a-947e-7113d2568512,01,,,,DE943,DEU
470072e8-59d4-460e-83d7-7ef747d9690f,01,,Rehden,49453,DE922,DEU
c3a9b49a-2f04-4f8c-8eb2-c8341bbafabe,01,,Manching,85077,DE21J,DEU
ad444921-a025-4950-b270-afc0dd34dd39,01,,Kressbronn a. B.,88079,DE147,DEU
b86b2a2d-f22f-4843-9c9e-47873e5a5838,01,,Bremen,.,DE501,DEU
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,,European Union,000,DE300,DEU
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,,,,,BEL
8ec97d74-8d96-4e6a-a0e8-c75d7647570b,01,,Region Mitte/ Süd/ Südwest/ West,D,DE212,DEU
90f332ed-04ca-467f-9af8-5e6e8e9ac165,01,,Marburg,35039,DE724,DEU
e9684303-556d-4be9-b2f7-525e90f7aa61,01,,Beckum,59269,DEA38,DEU
b6497276-a5eb-4c66-ac56-f86604960788,01,,Bochum,44866,DEA51,DEU
01a0a444-1c07-471e-b755-941f4becd2ee,01,,Riesa,01591,DED2E,DEU
1594f91b-44f6-456a-a325-ad98833404bc,01,,Dietzenbach,63128,DE71B,DEU
dc92350b-924f-472a-8ea4-53cee8ca4be7,01,,,,DE21K,DEU
8850e2ed-8211-4877-8ce3-ab6cabf3515f,01,,Leverkusen,51379,DEA24,DEU
625720a2-3dcb-4a88-b391-48aa63d0a10f,01,,Bochum,44807,DEA51,DEU
2f3259ec-494a-445b-8973-8e88ea4d982b,01,,Lauda-Königshofen,97922,DE11B,DEU
8d4a29da-6d95-436d-a0f7-26429bbf0f10,01,,Schönefeld,12529,DE406,DEU
915313db-1a99-4a68-802f-f0707033240b,01,,Halle (Saale),06122,DEE02,DEU
ed6675ff-7b24-4be8-8fe8-77d6714633f2,01,,Pfarrkirchen,84347,DE22A,DEU
09b85bf3-4637-4ffe-b72a-f4a851f18c50,01,,Lauda-Königshofen,97922,DE11B,DEU
f9dc1e05-3689-41bc-b82b-4ebe5fc1ffb5,01,,Adelsried,86477,DE276,DEU
5cff7c10-1e0e-4abe-8f0b-b6345a1362a0,01,,Schwebheim,97525,DE26B,DEU
50d1e5cc-c1ae-45b5-a685-505c1595d0c8,01,,Lauda-Königshofen,97922,DE11B,DEU
a9cb14a8-596e-478a-a3e9-d94670549370,01,,Lauda-Königshofen,97922,DE11B,DEU
44c726f4-e15d-43d3-84a5-0ceb2ecbff2a,01,,Lauda-Königshofen,97922,DE11B,DEU
24f04cdc-1d87-4457-9ca5-1dfd450fe67b,01,,Nürnberg,90439,DE254,DEU
4a448abd-7f1f-4052-987f-f9aea3df2fb9,01,,Bochum,,DEA51,DEU
d62756f0-2007-4111-b118-e5f44c943b18,01,,Möglingen,71696,DE115,DEU
bb722a54-0ab3-4fed-ab47-3f00b6ada783,01,,,,DEA46,DEU
5f734b5e-89a1-4d03-87e5-eb2f15ad7a35,01,,,,DE911,DEU
719c0678-a8c7-4e34-9073-1ea5837a8f61,01,,Calw-Hirsau,75365,DE12A,DEU
cb4cb836-775d-4166-864b-3717c808efc8,01,,,,DE254,DEU
f44ac8af-3eef-4a35-9414-dfa76e528ad8,01,,,,,DEU
fab52f0b-58ae-47ed-bbbc-1d3829b47040,01,,Neckarsulm,74172,DE118,DEU
b34d0781-ea79-41ab-9907-370f83e79047,01,,Hamburg,22307,DE600,DEU
ff2ff8ed-94f5-47d4-9a40-d6363f5f5c5e,01,,Leipzig,04103,DED51,DEU
3ee3ffd5-8ec5-4510-b21e-a9c074591fec,01,,Lauda-Königshofen,97922,DE11B,DEU
a5670d06-f5c1-44a2-b02e-d00fe844880e,01,,Freising,85354,DE21B,DEU
e4d3e324-99ba-4975-82a6-24cd59e5aec6,01,,Roitzsch (Ortsteil der Stadt Sandersdorf-Brehna),06809,DEE05,DEU
7576de88-72a4-4142-9bc0-0348aef4d44f,01,,Nürnberg,90471,DE254,DEU
c454fa91-86f5-4f3c-9109-a3bc53e13198,01,,Leipzig,04277,DED51,DEU
3fdeb952-ef6e-40e5-a887-a7e2b7cf662f,01,,Wustrow (Wendland),29462,DE934,DEU
2a55e205-4e71-40a0-ac8c-75e8bb465205,01,,Homburg,66424,DEC05,DEU
97342522-2e60-41ee-b63e-7fd68f818a0c,01,,Aachen,52074,DEA2D,DEU
75a604da-489d-4c11-8fa6-c21c913fafa8,01,,,,DEA2D,DEU
48badf3d-488b-4187-a932-53f825f535a7,01,,Manching,85077,DE21J,DEU
655042ea-1acb-49b4-af80-c050e20f7f66,01,,,,DE21K,DEU
c0fea23b-3299-4f7d-81f9-bd0dbeff808f,01,,Leipzig,04209,DED51,DEU
ef80485e-9b72-4f69-8fac-b1ca556c920b,01,,Helgoland,,DEF09,DEU
2fef9971-9508-4941-98cb-7c449a31e82e,01,,Geisenheim,65366,DE71D,DEU
846aa4fb-948a-48cf-9b6f-0b9d5add1ffa,05,,Halle (Saale),,DEE02,DEU
ed9237f6-d2c2-4613-be5a-13617329b435,02,,,,DE21K,DEU
9c08a1ab-83d4-49e8-a1d2-0cba0d37ceaa,01,,,,DE21K,DEU
f7488eee-a1ed-4f47-b78a-a9219f06abe3,1,,,,,
25826982,1,,84419 Schwindegg,,DE2,DEU
25818322,2,,49777 Klein Berßen,,DE9,DEU
25822876,1,,58332 Schwelm,,DEA,DEU
25822880,1,,26897 Esterwegen,,DE9,DEU
