noticeIdentifier,noticeVersion,lotIdentifier,scope,documentReferenceId,documentType,description,rawUrl,url
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,LOT-0000,lot,301419,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/301419,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/1/tenderId/301419
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,lot,209998,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/209998,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/209998
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.had.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08fac6fdb-8755243a2baca4d,https://www.had.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08fac6fdb-8755243a2baca4d
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,lot,E41738449,non-restricted-document,,https://www.subreport.de/E41738449,https://www.subreport.de/E41738449
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4Y9DMPQS/documents,https://www.dtvp.de/Satellite/notice/CXP4Y9DMPQS/documents
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,lot,9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,non-restricted-document,,https://www.deutsche-evergabe.de/dashboards/dashboard_off/9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,https://www.deutsche-evergabe.de/dashboards/dashboard_off/9a1b2062-053c-47dc-bc6c-b4cd4604c5f2
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,lot,E51333294,non-restricted-document,,https://www.subreport.de/E51333294,https://www.subreport.de/E51333294
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff9c4ef56-27f39c1ab70be209,https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19ff9c4ef56-27f39c1ab70be209
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,lot,av286b63-eu,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av286b63-eu,https://plattform.aumass.de/Veroeffentlichung/av286b63-eu
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,lot,E67174425,non-restricted-document,,https://www.subreport.de/E67174425,https://www.subreport.de/E67174425
